OrderID,FY,ItemName,Category,Quantity,UnitPrice,TotalPrice,OrderStatus,OrderDate,ReceivingCountry,POC
1064,2023,M4 Carbine,Weapon System,3217,1200.00,3860400.00,Completed,2023-02-18,Ukraine,"Olena Melnyk: (910) 555-6831"
1065,2024,Body Armor Set,Supplies,2576,800.00,2060800.00,Completed,2024-07-27,Israel,"Talia Cohen: (212) 555-7039"
1066,2025,MRE (Case),Supplies,18055,150.00,2708250.00,Pending,2025-05-19,Israel,"Avi Levi: (212) 555-9371"
1067,2023,Javelin Missile System,Weapon System,20,175000.00,3500000.00,Completed,2023-07-16,Ukraine,"Serhiy Kovalenko: (910) 555-8164"
1068,2023,9mm Luger,Ammunition,3260782,0.35,1141273.70,Completed,2023-05-26,Israel,"Shira Cohen: (212) 555-2947"
1069,2023,M17 Pistol,Weapon System,2723,650.00,1770000.00,Completed,2023-08-23,Ukraine,"Yulia Ivanova: (910) 555-3850"
1070,2023,MRE (Case),Supplies,16578,150.00,2486700.00,Completed,2022-12-16,Israel,"Noam Mizrahi: (212) 555-1123"
1071,2024,M4 Carbine,Weapon System,4237,1200.00,5084400.00,Completed,2024-02-13,Israel,"Avi Cohen: (212) 555-8314"
1072,2024,First Aid Kit (IFAK),Supplies,34407,75.00,2580525.00,Completed,2024-05-19,Ukraine,"Olena Shevchenko: (910) 555-4729"
1073,2024,M17 Pistol,Weapon System,4916,650.00,3195400.00,Completed,2024-03-24,UK,"Harry Smith: (202) 555-9012"
1074,2023,M4 Carbine,Weapon System,2591,1200.00,3109200.00,Completed,2023-06-25,Ukraine,"Andriy Melnyk: (910) 555-5287"
1075,2025,9mm Luger,Ammunition,2275811,0.35,796533.85,Pending,2025-07-15,Israel,"Talia Levi: (212) 555-6601"
1076,2024,M4 Carbine,Weapon System,3469,1200.00,4162800.00,Completed,2024-03-24,Israel,"Noam Cohen: (212) 555-3882"
1077,2025,First Aid Kit (IFAK),Supplies,17028,75.00,1277100.00,Forecasted,2025-08-01,Israel,"Avi Katz: (212) 555-7319"
1078,2025,First Aid Kit (IFAK),Supplies,41427,75.00,3107025.00,Pending,2025-01-26,Ukraine,"Andriy Kovalenko: (910) 555-2281"
1079,2025,HIMARS Launcher,Weapon System,18,5100000.00,91800000.00,Forecasted,2025-08-23,Australia,"Liam Taylor: (315) 555-4058"
1080,2025,M17 Pistol,Weapon System,3323,650.00,2160000.00,Pending,2025-05-18,Israel,"Shira Mizrahi: (212) 555-1990"
1081,2025,M17 Pistol,Weapon System,1347,650.00,875550.00,Pending,2025-06-29,Ukraine,"Yulia Shevchenko: (910) 555-7834"
1082,2025,M4 Carbine,Weapon System,4639,1200.00,5566800.00,Pending,2025-01-26,Ukraine,"Andriy Ivanova: (910) 555-6912"
1083,2024,M249 SAW,Weapon System,106,8000.00,848000.00,Completed,2023-10-09,Israel,"Talia Cohen: (212) 555-5183"
1084,2025,Communication Radio,Supplies,3925,1500.00,5887500.00,Forecasted,2025-08-01,Israel,"Avi Katz: (212) 555-4812"
1085,2024,Body Armor Set,Supplies,5951,800.00,4760800.00,Completed,2024-01-29,Ukraine,"Olena Shevchenko: (910) 555-9337"
1086,2023,M4 Carbine,Weapon System,1574,1200.00,1888800.00,Completed,2023-07-28,Israel,"Noam Levi: (212) 555-2749"
1087,2024,M4 Carbine,Weapon System,4315,1200.00,5178000.00,Completed,2024-07-25,Ukraine,"Serhiy Shevchenko: (910) 555-8854"
1088,2025,Communication Radio,Supplies,4025,1500.00,6037500.00,Pending,2025-04-18,Israel,"Shira Cohen: (212) 555-6215"
1089,2024,MRE (Case),Supplies,18541,150.00,2781150.00,Completed,2024-05-15,Israel,"Talia Katz: (212) 555-7901"
1090,2024,M4 Carbine,Weapon System,2745,1200.00,3294000.00,Completed,2024-07-22,Israel,"Noam Mizrahi: (212) 555-8374"
1091,2024,First Aid Kit (IFAK),Supplies,12019,75.00,901425.00,Completed,2024-07-24,UK,"Harry Jones: (202) 555-3121"
1092,2024,5.56mm NATO,Ammunition,3160492,0.50,1580246.00,Completed,2024-03-24,Israel,"Avi Levi: (212) 555-4678"
1093,2023,M4 Carbine,Weapon System,3359,1200.00,4030800.00,Completed,2023-03-29,Ukraine,"Yulia Kovalenko: (910) 555-9011"
1094,2025,M17 Pistol,Weapon System,1153,650.00,749450.00,Pending,2025-06-25,Israel,"Noam Cohen: (212) 555-8324"
1095,2025,MRE (Case),Supplies,14389,150.00,2158350.00,Pending,2025-03-08,Israel,"Shira Katz: (212) 555-7549"
1096,2025,M4 Carbine,Weapon System,395,1200.00,474000.00,Pending,2025-06-03,Ukraine,"Andriy Melnyk: (910) 555-6288"
1097,2025,M4 Carbine,Weapon System,3291,1200.00,3949200.00,Forecasted,2025-09-15,Israel,"Avi Mizrahi: (212) 555-4821"
1098,2024,MRE (Case),Supplies,9498,150.00,1424700.00,Completed,2024-03-09,Israel,"Talia Levi: (212) 555-8319"
1099,2025,5.56mm NATO,Ammunition,4278571,0.50,2139285.50,Pending,2025-05-18,Ukraine,"Olena Shevchenko: (910) 555-7145"
1100,2025,MRE (Case),Supplies,15370,150.00,2305500.00,Forecasted,2025-08-23,Israel,"Noam Cohen: (212) 555-6899"
1101,2025,MRE (Case),Supplies,9077,150.00,1361550.00,Pending,2024-10-18,Israel,"Avi Levi: (212) 555-5201"
1102,2025,M4 Carbine,Weapon System,2666,1200.00,3199200.00,Pending,2025-05-18,Israel,"Shira Katz: (212) 555-3814"
1103,2025,Body Armor Set,Supplies,7261,800.00,5808800.00,Pending,2025-01-29,Israel,"Talia Mizrahi: (212) 555-9112"
1104,2024,M17 Pistol,Weapon System,3516,650.00,2285400.00,Completed,2023-11-20,Ukraine,"Yulia Ivanova: (910) 555-7538"
1105,2024,155mm Artillery Shell,Ammunition,8058,3000.00,24174000.00,Completed,2024-01-15,Ukraine,"Andriy Shevchenko: (910) 555-6490"
1106,2024,M17 Pistol,Weapon System,295,650.00,191750.00,Completed,2023-10-11,Saudi Arabia,"Khalid Al-Saud: (202) 555-2847"
1107,2024,M17 Pistol,Weapon System,4159,650.00,2703350.00,Completed,2024-09-02,Israel,"Avi Cohen: (212) 555-3610"
1108,2024,First Aid Kit (IFAK),Supplies,29606,75.00,2220450.00,Completed,2024-01-29,Ukraine,"Olena Kovalenko: (910) 555-8822"
1109,2024,MRE (Case),Supplies,18128,150.00,2719200.00,Completed,2024-03-24,Israel,"Talia Levi: (212) 555-8745"
1110,2024,M4 Carbine,Weapon System,4562,1200.00,5474400.00,Completed,2024-01-20,Ukraine,"Yulia Ivanova: (910) 555-2344"
